username,sampled_for,ground_truth_language,ground_truth_roadmap_skill,predicted_primary_language,predicted_primary_skill,match,top3_match,repos_analyzed,total_bytes,dominant_language_ratio,all_weights,error
gvanrossum,Python,HTML,html-css,HTML,html-css,True,True,10,4680075,0.5759,"{""html-css"": 0.513308, ""python-developer"": 0.239749, ""css"": 0.000445}",
tiangolo,Python,Python,python-developer,Python,python-developer,True,True,15,761474,0.9523,"{""python-developer"": 0.942794, ""html-css"": 0.001448, ""css"": 0.000366, ""javascript"": 0.000195}",
kennethreitz,Python,HTML,html-css,HTML,html-css,True,True,35,192079941,0.9602,"{""html-css"": 0.622764, ""python-developer"": 0.366577, ""javascript"": 0.001877, ""css"": 0.000732}",
agronholm,Python,Python,python-developer,Python,python-developer,True,True,25,2969361,0.939,"{""python-developer"": 0.929811, ""rust"": 0.060496, ""css"": 0.006493, ""html-css"": 0.001017, ""javascript"": 1e-05}",
pawamoy,Python,JavaScript,javascript,Python,python-developer,False,True,66,15960526,0.5605,"{""python-developer"": 0.452018, ""javascript"": 0.346511, ""html-css"": 0.136286, ""css"": 0.001739}",
sindresorhus,JavaScript,JavaScript,javascript,JavaScript,javascript,True,True,949,17960644,0.5547,"{""javascript"": 0.688421, ""typescript"": 0.143443, ""html-css"": 0.066058, ""css"": 0.014216, ""rust"": 0.006579, ""python-developer"": 0.003985, ""cpp"": 0.001611}",
nicolo-ribaudo,JavaScript,JavaScript,javascript,JavaScript,javascript,True,True,86,7568890,0.914,"{""javascript"": 0.814629, ""typescript"": 0.081145, ""html-css"": 0.074051, ""css"": 0.023185, ""rust"": 0.000511}",
developit,JavaScript,JavaScript,javascript,JavaScript,javascript,True,True,150,8933903,0.9234,"{""javascript"": 0.927734, ""typescript"": 0.043185, ""css"": 0.014183, ""html-css"": 0.005015, ""python-developer"": 0.000292}",
jlongster,JavaScript,JavaScript,javascript,JavaScript,javascript,True,True,121,139057029,0.5839,"{""javascript"": 0.686966, ""cpp"": 0.044842, ""css"": 0.022439, ""python-developer"": 0.014225, ""java"": 0.011471, ""html-css"": 0.00704, ""typescript"": 0.006718}",
ljharb,JavaScript,JavaScript,javascript,JavaScript,javascript,True,True,113,4054935,0.9898,"{""javascript"": 0.993867, ""typescript"": 0.003818, ""html-css"": 1e-05}",
orta,TypeScript,JavaScript,javascript,JavaScript,javascript,True,True,295,80952613,0.4949,"{""javascript"": 0.371123, ""typescript"": 0.135388, ""html-css"": 0.055414, ""css"": 0.012212, ""rust"": 0.007899, ""cpp"": 0.000199, ""python-developer"": 7.7e-05, ""java"": 4.8e-05}",
antfu,TypeScript,TypeScript,typescript,TypeScript,typescript,True,True,209,13276814,0.367,"{""typescript"": 0.502986, ""javascript"": 0.244573, ""html-css"": 0.06907, ""python-developer"": 0.014705, ""css"": 0.014638, ""cpp"": 0.000998}",
wesbos,TypeScript,TypeScript,typescript,TypeScript,typescript,True,True,201,29069529,0.3203,"{""typescript"": 0.294841, ""javascript"": 0.292609, ""html-css"": 0.239581, ""css"": 0.071427, ""cpp"": 0.010298, ""python-developer"": 0.001912, ""rust"": 6.7e-05}",
DavidWells,TypeScript,JavaScript,javascript,JavaScript,javascript,True,True,191,30112104,0.6041,"{""javascript"": 0.72134, ""css"": 0.046121, ""typescript"": 0.025783, ""html-css"": 0.020796, ""python-developer"": 5e-06}",
bradfitz,Go,Go,golang,Go,golang,True,True,85,37667920,0.8816,"{""golang"": 0.850982, ""html-css"": 0.028916, ""python-developer"": 0.019693, ""java"": 0.016642, ""javascript"": 0.001812, ""cpp"": 2.2e-05, ""css"": 4e-06}",
rsc,Go,Go,golang,Go,golang,True,True,66,621644549,0.7659,"{""golang"": 0.803123, ""cpp"": 0.026117, ""html-css"": 0.012298, ""python-developer"": 0.000592, ""java"": 0.000136, ""javascript"": 0.0001, ""css"": 8e-06}",
peterbourgon,Go,HTML,html-css,Go,golang,False,True,34,2500420,0.5164,"{""golang"": 0.508926, ""html-css"": 0.333739, ""javascript"": 0.040202, ""css"": 0.022225}",
mvdan,Go,Go,golang,Go,golang,True,True,18,1373436,0.9523,"{""golang"": 0.910611, ""html-css"": 0.043608}",
cespare,Go,Go,golang,Go,golang,True,True,56,1557560,0.7737,"{""golang"": 0.813818, ""javascript"": 0.004432, ""html-css"": 0.001849, ""python-developer"": 0.001559, ""css"": 0.000376}",
steveklabnik,Rust,HTML,html-css,HTML,html-css,True,True,182,82667581,0.9103,"{""html-css"": 0.570077, ""rust"": 0.154503, ""javascript"": 0.064361, ""css"": 0.018794, ""typescript"": 0.000858, ""java"": 2e-06, ""cpp"": 1e-06}",
dtolnay,Rust,Rust,rust,Rust,rust,True,True,88,6728767,0.9622,"{""rust"": 0.957982, ""cpp"": 0.009856, ""html-css"": 0.001125, ""javascript"": 0.000479, ""python-developer"": 0.000241, ""css"": 6e-05}",
aturon,Rust,HTML,html-css,HTML,html-css,True,True,17,1300510,0.8013,"{""html-css"": 0.577147, ""rust"": 0.09833, ""java"": 0.012568, ""css"": 0.005185}",
withoutboats,Rust,Rust,rust,Rust,rust,True,True,32,775209,0.9882,"{""rust"": 0.963292, ""python-developer"": 0.001663, ""html-css"": 8.3e-05}",
