rank,course_name,descendants_count,out_degree,graph_depth,importance_score
1,JavaScript,23,2,0,83.0
2,Introduction,22,1,0,78.0
3,Hashicorp Config. Language (HCL),21,1,1,74.0
4,Internet,20,1,0,72.0
5,Version Control Systems,20,1,1,71.0
6,Project Initialization,20,1,2,70.0
7,Pick a Language,19,1,1,68.0
8,VCS Hosting,19,1,2,67.0
9,HTML,18,1,0,66.0
10,Providers,19,1,3,66.0
11,Version Control Systems,18,1,2,64.0
12,Types of BI Operations,17,1,0,63.0
13,Package Managers,18,1,3,63.0
14,CSS,17,1,1,62.0
15,Resources,18,1,4,62.0
16,Repo Hosting Services,17,1,3,60.0
17,R2 Storage,16,1,0,60.0
18,Key Product Metrics,16,1,0,60.0
19,Key Business Functions,16,1,1,59.0
20,Pick a Framework,17,1,4,59.0
21,Data Persistence,15,2,0,59.0
22,JavaScript,16,1,2,58.0
23,Variables,17,1,5,58.0
24,Pick a Language,13,4,0,57.0
25,Lists,15,1,0,57.0
26,Relational Databases,16,1,4,56.0
27,D1,15,1,1,56.0
28,Data-Driven Decision Making,15,1,1,56.0
29,Types of Data Analysis,15,1,2,55.0
30,Writing CSS,16,1,5,55.0
31,npm,15,1,3,54.0
32,Macros & Metaprogramming,14,1,0,54.0
33,Outputs,16,1,6,54.0
34,Sets,14,1,1,53.0
35,Learn about APIs,15,1,5,52.0
36,Queues,14,1,2,52.0
37,Feedback Loops,14,1,2,52.0
38,Learn the Basics,13,1,0,51.0
39,Variables and Data Types,14,1,3,51.0
40,CSS Architecture,15,1,6,51.0
41,Programming Techniques,13,1,0,51.0
42,Git,14,1,4,50.0
43,JSON / XML,13,1,1,50.0
44,Web Development,13,1,1,50.0
45,Format & Validate,15,1,7,50.0
46,Hashes,13,1,2,49.0
47,Caching,14,1,6,48.0
48,Durable Objects,13,1,3,48.0
49,Communication Skills,13,1,3,48.0
50,Different API Styles,12,1,1,47.0
51,Descriptive Statistics,13,1,4,47.0
52,CSS Preprocessors,14,1,7,47.0
53,Build Tools,13,3,8,47.0
54,Databases,12,1,1,47.0
55,GitHub,13,1,5,46.0
56,Networking,12,1,2,46.0
57,Asynchronous Programming,12,1,2,46.0
58,Deployment,14,1,8,46.0
59,Repo Hosting Services,11,1,0,45.0
60,Writing Platform Specific Code,11,1,0,45.0
