manual_skill_annotation
resume_file,predicted_skills,predicted_confidences,manual_true_skills,notes
software_engineer_cv_11.docx,ai;java;javascript;nodejs;aws;backend,0.5;0.5;0.5;0.5;0.5;0.1667,"Machine Learning, Node.js, Spring Boot, C++, JavaScript, AWS",
software_engineer_cv_12.docx,backend;java;kubernetes;nodejs;docker;react,0.6667;0.5;0.5;0.5;0.5;0.5,"Kubernetes, Node.js, React, Docker, REST APIs, Spring Boot",
software_engineer_cv_19.docx,python;javascript;nodejs;docker;aws;fullstack;backend,1.0;0.5;0.5;0.5;0.5;0.1667;0.1667,"Node.js, AWS, Docker, JavaScript, Python, Django",
software_engineer_cv_20.docx,nodejs;docker;react;aws;backend,0.5;0.5;0.5;0.5;0.1667,"AWS, C++, SQL, Node.js, React, Docker",
software_engineer_cv_21.docx,backend;javascript;nodejs;python;docker;fullstack,1.0;0.5;0.5;0.5;0.5;0.1667,"JavaScript, Node.js, Git, Docker, Django, REST APIs",
software_engineer_cv_24.docx,backend;ai;kubernetes;nodejs;python,0.8333;0.5;0.5;0.5;0.5,"Kubernetes, SQL, Django, REST APIs, Node.js, Machine Learning",
software_engineer_cv_33.docx,ai;java;javascript;kubernetes;nodejs;docker;backend,0.5;0.5;0.5;0.5;0.5;0.5;0.1667,"Spring Boot, Docker, Machine Learning, Kubernetes, JavaScript, Node.js",
software_engineer_cv_34.docx,backend;javascript;kubernetes;nodejs;docker;react,0.8333;0.5;0.5;0.5;0.5;0.5,"JavaScript, Node.js, Git, Docker, Kubernetes, React",
software_engineer_cv_35.docx,backend;ai;python;docker;java;aws,0.6667;0.5;0.5;0.5;0.5;0.5,"AWS, Java, Python, Docker, Git, Machine Learning",
software_engineer_cv_37.docx,python;ai;javascript;react;fullstack;backend,1.0;0.5;0.5;0.5;0.1667;0.1667,"C++, React, JavaScript, Django, Python, Machine Learning",
software_engineer_cv_40.docx,java;backend;ai;nodejs,1.0;0.8333;0.5;0.5,"Machine Learning, Git, Spring Boot, Node.js, Java, C++",
software_engineer_cv_58.docx,backend;ai;javascript;kubernetes;java,0.6667;0.5;0.5;0.5;0.5,"C++, Machine Learning, Kubernetes, REST APIs, Java, JavaScript",
software_engineer_cv_67.docx,backend;ai;python;aws,1.0;0.5;0.5;0.5,"AWS, Machine Learning, REST APIs, C++, Django, Git",
software_engineer_cv_71.docx,python;ai;javascript;react;backend,1.0;0.5;0.5;0.5;0.1667,"Python, SQL, Machine Learning, React, JavaScript, Django",
software_engineer_cv_73.docx,backend;java;javascript;nodejs;react,0.6667;0.5;0.5;0.5;0.5,"REST APIs, SQL, Spring Boot, Node.js, JavaScript, React",
software_engineer_cv_77.docx,backend;javascript;docker;java;aws,1.0;0.5;0.5;0.5;0.5,"AWS, Docker, REST APIs, Java, Git, JavaScript",
software_engineer_cv_79.docx,backend;java;javascript;nodejs;docker;aws,0.6667;0.5;0.5;0.5;0.5;0.5,"Spring Boot, Docker, JavaScript, Node.js, REST APIs, AWS",
software_engineer_cv_82.docx,backend;ai;javascript;python;react;java,0.6667;0.5;0.5;0.5;0.5;0.5,"JavaScript, Machine Learning, Java, Python, Git, React",
software_engineer_cv_87.docx,backend;ai;javascript;kubernetes;docker,0.8333;0.5;0.5;0.5;0.5,"JavaScript, Kubernetes, Git, Machine Learning, Docker, SQL",
software_engineer_cv_94.docx,backend;ai;java;python,1.0;0.5;0.5;0.5,"Machine Learning, SQL, REST APIs, Spring Boot, Python, Git",
