resume_id,github_username,has_github,resume_skills,github_skills,fusion_skills,ground_truth_skills,precision_resume,precision_github,precision_fusion,recall_resume,recall_github,recall_fusion,f1_resume,f1_github,f1_fusion
10030015.pdf,,no,qa,,qa,,0.0,,,0.0,,,0.0,,
10219099.pdf,,no,qa,,qa,,0.0,,,0.0,,,0.0,,
10624813.pdf,,no,aws|backend|devops|html-css|java|javascript|mongodb|php|python|qa,,aws|backend|devops|html-css|java|javascript|mongodb|php|python|qa,aws|backend|cpp|devops|html-css|java|javascript|mongodb|php|python,0.9,,,0.9,,,0.9,,
10712803.pdf,,no,cyber-security,,cyber-security,,0.0,,,0.0,,,0.0,,
10985403.pdf,,no,ai|r,,ai|r,,0.0,,,0.0,,,0.0,,
11890896.pdf,,no,nodejs|qa,,nodejs|qa,cpp,0.0,,,0.0,,,0.0,,
11981094.pdf,,no,backend|devops|golang|javascript|qa,,backend|devops|golang|javascript|qa,backend|cpp|devops|html-css|javascript,0.6,,,0.6,,,0.6,,
12011623.pdf,,no,ai|csharp|html-css|python|qa|r,,ai|csharp|html-css|python|qa|r,csharp|html-css|python|r,0.6667,,,1.0,,,0.8,,
12022566.pdf,,no,r,,r,cpp,0.0,,,0.0,,,0.0,,
12472574.pdf,,no,backend|cyber-security|golang|html-css|java|javascript|linux|qa,,backend|cyber-security|golang|html-css|java|javascript|linux|qa,cpp|html-css|java|javascript|linux,0.5,,,0.8,,,0.6154,,
12488356.pdf,,no,backend|qa,,backend|qa,backend,0.5,,,1.0,,,0.6667,,
12518008.pdf,,no,qa,,qa,,0.0,,,0.0,,,0.0,,
12748557.pdf,,no,qa|react,,qa|react,react,0.5,,,1.0,,,0.6667,,
13149176.pdf,,no,qa|r,,qa|r,,0.0,,,0.0,,,0.0,,
13264796.pdf,,no,ai|android|backend|cyber-security|ios|qa|r|ruby,,ai|android|backend|cyber-security|ios|qa|r|ruby,backend|r|ruby,0.375,,,1.0,,,0.5455,,
14049846.pdf,,no,qa|r,,qa|r,,0.0,,,0.0,,,0.0,,
14206561.pdf,,no,cyber-security,,cyber-security,,0.0,,,0.0,,,0.0,,
14554542.pdf,,no,cyber-security|qa,,cyber-security|qa,,0.0,,,0.0,,,0.0,,
15139979.pdf,,no,cpp,,cpp,cpp,1.0,,,1.0,,,1.0,,
15601399.pdf,,no,qa,,qa,,0.0,,,0.0,,,0.0,,
15858254.pdf,,no,linux|qa,,linux|qa,linux,0.5,,,1.0,,,0.6667,,
15941675.pdf,,no,qa|r,,qa|r,,0.0,,,0.0,,,0.0,,
16803215.pdf,,no,golang|java,,golang|java,java,0.5,,,1.0,,,0.6667,,
16911115.pdf,,no,cyber-security|qa,,cyber-security|qa,,0.0,,,0.0,,,0.0,,
17043822.pdf,,no,linux|mysql|php,,linux|mysql|php,linux|mysql|php,1.0,,,1.0,,,1.0,,
17103000.pdf,,no,cyber-security,,cyber-security,,0.0,,,0.0,,,0.0,,
17108676.pdf,,no,,,,,0.0,,,0.0,,,0.0,,
17488801.pdf,,no,,,,,0.0,,,0.0,,,0.0,,
17926546.pdf,,no,qa|r,,qa|r,,0.0,,,0.0,,,0.0,,
18753367.pdf,,no,cyber-security|qa,,cyber-security|qa,,0.0,,,0.0,,,0.0,,
19124258.pdf,,no,qa,,qa,,0.0,,,0.0,,,0.0,,
19396040.pdf,,no,java|python|r,,java|python|r,cpp|java|python,0.6667,,,0.6667,,,0.6667,,
19397727.pdf,,no,qa,,qa,,0.0,,,0.0,,,0.0,,
19553067.pdf,,no,nodejs|qa,,nodejs|qa,,0.0,,,0.0,,,0.0,,
19612167.pdf,,no,qa,,qa,,0.0,,,0.0,,,0.0,,
20566550.pdf,,no,ai|backend|python|qa|r,,ai|backend|python|qa|r,backend|python,0.4,,,1.0,,,0.5714,,
20882041.pdf,,no,qa|r,,qa|r,,0.0,,,0.0,,,0.0,,
20981299.pdf,,no,r,,r,,0.0,,,0.0,,,0.0,,
21038022.pdf,,no,csharp|html-css|java,,csharp|html-css|java,cpp|csharp|html-css|java,1.0,,,0.75,,,0.8571,,
21298336.pdf,,no,,,,,0.0,,,0.0,,,0.0,,
21629057.pdf,,no,golang|r,,golang|r,,0.0,,,0.0,,,0.0,,
21807224.pdf,,no,aws,,aws,aws,1.0,,,1.0,,,1.0,,
21847415.pdf,,no,java|qa|r,,java|qa|r,,0.0,,,0.0,,,0.0,,
22605864.pdf,,no,cyber-security,,cyber-security,,0.0,,,0.0,,,0.0,,
22890839.pdf,,no,android|cyber-security|ios|linux|python,,android|cyber-security|ios|linux|python,linux|python,0.4,,,1.0,,,0.5714,,
23234047.pdf,,no,java|qa,,java|qa,java,0.5,,,1.0,,,0.6667,,
23438227.pdf,,no,r,,r,,0.0,,,0.0,,,0.0,,
23497307.pdf,,no,backend,,backend,backend,1.0,,,1.0,,,1.0,,
24322804.pdf,,no,,,,cpp,0.0,,,0.0,,,0.0,,
24647794.pdf,,no,java|qa,,java|qa,cpp,0.0,,,0.0,,,0.0,,
25425322.pdf,,no,,,,,0.0,,,0.0,,,0.0,,
25608963.pdf,,no,qa|r,,qa|r,,0.0,,,0.0,,,0.0,,
25797445.pdf,,no,,,,,0.0,,,0.0,,,0.0,,
25919149.pdf,,no,qa|r,,qa|r,,0.0,,,0.0,,,0.0,,
25930778.pdf,,no,,,,,0.0,,,0.0,,,0.0,,
26456899.pdf,,no,java|linux|qa,,java|linux|qa,cpp|java|linux,0.6667,,,0.6667,,,0.6667,,
26834746.pdf,,no,cyber-security|qa,,cyber-security|qa,,0.0,,,0.0,,,0.0,,
27040860.pdf,,no,,,,,0.0,,,0.0,,,0.0,,
27152464.pdf,,no,backend|frontend|golang|linux|mongodb|postgresql|python|qa,,backend|frontend|golang|linux|mongodb|postgresql|python|qa,backend|linux|mongodb|postgresql|python,0.625,,,1.0,,,0.7692,,
27756469.pdf,,no,,,,,0.0,,,0.0,,,0.0,,
28005884.pdf,,no,,,,,0.0,,,0.0,,,0.0,,
28078163.pdf,,no,backend|devops|golang|javascript|qa,,backend|devops|golang|javascript|qa,backend|cpp|devops|html-css|javascript,0.6,,,0.6,,,0.6,,
28320387.pdf,,no,cyber-security,,cyber-security,,0.0,,,0.0,,,0.0,,
28505854.pdf,,no,ai|backend|cyber-security|java|linux,,ai|backend|cyber-security|java|linux,ai|backend|cpp|html-css|java|linux,0.8,,,0.6667,,,0.7273,,
28628090.pdf,,no,qa|r,,qa|r,,0.0,,,0.0,,,0.0,,
28630325.pdf,,no,backend|html-css|mysql|php,,backend|html-css|mysql|php,backend|html-css|mysql|php,1.0,,,1.0,,,1.0,,
28631840.pdf,,no,cyber-security|qa,,cyber-security|qa,,0.0,,,0.0,,,0.0,,
28762662.pdf,,no,backend|devops|golang|html-css|javascript|qa,,backend|devops|golang|html-css|javascript|qa,backend|cpp|devops|html-css|javascript,0.6667,,,0.8,,,0.7273,,
28831378.pdf,,no,qa,,qa,,0.0,,,0.0,,,0.0,,
28923650.pdf,,no,ai|qa,,ai|qa,,0.0,,,0.0,,,0.0,,
30097175.pdf,,no,html-css|qa,,html-css|qa,cpp|html-css,0.5,,,0.5,,,0.5,,
30288581.pdf,,no,mysql,,mysql,mysql,1.0,,,1.0,,,1.0,,
30542184.pdf,,no,cyber-security,,cyber-security,,0.0,,,0.0,,,0.0,,
31677347.pdf,,no,backend|devops|golang|javascript|qa,,backend|devops|golang|javascript|qa,backend|cpp|devops|html-css|javascript,0.6,,,0.6,,,0.6,,
31684925.pdf,,no,java|nodejs,,java|nodejs,,0.0,,,0.0,,,0.0,,
31694970.pdf,,no,csharp,,csharp,csharp,1.0,,,1.0,,,1.0,,
32081266.pdf,,no,cyber-security|java|qa,,cyber-security|java|qa,,0.0,,,0.0,,,0.0,,
32802563.pdf,,no,,,,,0.0,,,0.0,,,0.0,,
32985311.pdf,,no,python|qa|r,,python|qa|r,python,0.3333,,,1.0,,,0.5,,
33685075.pdf,,no,qa,,qa,,0.0,,,0.0,,,0.0,,
35172961.pdf,,no,,,,,0.0,,,0.0,,,0.0,,
35389360.pdf,,no,android|cyber-security|html-css|ios|java|linux|mysql|php|qa,,android|cyber-security|html-css|ios|java|linux|mysql|php|qa,html-css|java|linux|mysql|php,0.5556,,,1.0,,,0.7143,,
35651876.pdf,,no,cyber-security,,cyber-security,,0.0,,,0.0,,,0.0,,
35737840.pdf,,no,,,,,0.0,,,0.0,,,0.0,,
36149549.pdf,,no,,,,,0.0,,,0.0,,,0.0,,
36517781.pdf,,no,,,,,0.0,,,0.0,,,0.0,,
37335325.pdf,,no,android|backend|cyber-security|devops|ios|java|linux|qa,,android|backend|cyber-security|devops|ios|java|linux|qa,backend|cpp|devops|java|linux,0.5,,,0.8,,,0.6154,,
38220146.pdf,,no,cyber-security,,cyber-security,,0.0,,,0.0,,,0.0,,
38314236.pdf,,no,qa,,qa,,0.0,,,0.0,,,0.0,,
38535335.pdf,,no,ios|r,,ios|r,,0.0,,,0.0,,,0.0,,
39835894.pdf,,no,linux|qa|r,,linux|qa|r,linux,0.3333,,,1.0,,,0.5,,
39855211.pdf,,no,qa,,qa,,0.0,,,0.0,,,0.0,,
43752620.pdf,,no,backend,,backend,,0.0,,,0.0,,,0.0,,
44624796.pdf,,no,cyber-security|qa,,cyber-security|qa,,0.0,,,0.0,,,0.0,,
