resume_id,precision,recall,f1_score,predicted_skills,ground_truth_skills,excluded_skills
10030015.pdf,0.0,0.0,0.0,qa,,LabVIEW
10219099.pdf,0.0,0.0,0.0,qa,,
10624813.pdf,0.9,0.9,0.9,aws|backend|devops|html-css|java|javascript|mongodb|php|python|qa,aws|backend|cpp|devops|html-css|java|javascript|mongodb|php|python,Bootstrap|Hibernate|JUnit|Jira|PL/SQL|Perl|SOAP|SQL|Selenium
10712803.pdf,0.0,0.0,0.0,cyber-security,,
10985403.pdf,0.0,0.0,0.0,ai|r,,
11890896.pdf,0.0,0.0,0.0,nodejs|qa,cpp,SQL
11981094.pdf,0.6,0.6,0.6,backend|devops|golang|javascript|qa,backend|cpp|devops|html-css|javascript,JSON|REST API|XML
12011623.pdf,0.6667,1.0,0.8,ai|csharp|html-css|python|qa|r,csharp|html-css|python|r,Oracle|SQL|Tableau
12022566.pdf,0.0,0.0,0.0,r,cpp,
12472574.pdf,0.5,0.8,0.6154,backend|cyber-security|golang|html-css|java|javascript|linux|qa,cpp|html-css|java|javascript|linux,SQL|Unix
12488356.pdf,0.5,1.0,0.6667,backend|qa,backend,Salesforce
12518008.pdf,0.0,0.0,0.0,qa,,
12748557.pdf,0.5,1.0,0.6667,qa|react,react,
13149176.pdf,0.0,0.0,0.0,qa|r,,
13264796.pdf,0.375,1.0,0.5455,ai|android|backend|cyber-security|ios|qa|r|ruby,backend|r|ruby,
14049846.pdf,0.0,0.0,0.0,qa|r,,
14206561.pdf,0.0,0.0,0.0,cyber-security,,Oracle
14554542.pdf,0.0,0.0,0.0,cyber-security|qa,,
15139979.pdf,1.0,1.0,1.0,cpp,cpp,
15601399.pdf,0.0,0.0,0.0,qa,,
15858254.pdf,0.5,1.0,0.6667,linux|qa,linux,LabVIEW
15941675.pdf,0.0,0.0,0.0,qa|r,,
16803215.pdf,0.5,1.0,0.6667,golang|java,java,
16911115.pdf,0.0,0.0,0.0,cyber-security|qa,,Oracle DB
17043822.pdf,1.0,1.0,1.0,linux|mysql|php,linux|mysql|php,Unix
17103000.pdf,0.0,0.0,0.0,cyber-security,,
17108676.pdf,0.0,0.0,0.0,,,
17488801.pdf,0.0,0.0,0.0,,,
17926546.pdf,0.0,0.0,0.0,qa|r,,
18753367.pdf,0.0,0.0,0.0,cyber-security|qa,,
19124258.pdf,0.0,0.0,0.0,qa,,
19396040.pdf,0.6667,0.6667,0.6667,java|python|r,cpp|java|python,Kanban
19397727.pdf,0.0,0.0,0.0,qa,,LabVIEW
19553067.pdf,0.0,0.0,0.0,nodejs|qa,,
19612167.pdf,0.0,0.0,0.0,qa,,
20566550.pdf,0.4,1.0,0.5714,ai|backend|python|qa|r,backend|python,Jira|MATLAB|Oracle|SQL
20882041.pdf,0.0,0.0,0.0,qa|r,,
20981299.pdf,0.0,0.0,0.0,r,,Kanban
21038022.pdf,1.0,0.75,0.8571,csharp|html-css|java,cpp|csharp|html-css|java,SQL|SQL Server|Visual Studio
21298336.pdf,0.0,0.0,0.0,,,
21629057.pdf,0.0,0.0,0.0,golang|r,,
21807224.pdf,1.0,1.0,1.0,aws,aws,
21847415.pdf,0.0,0.0,0.0,java|qa|r,,
22605864.pdf,0.0,0.0,0.0,cyber-security,,PowerShell
22890839.pdf,0.4,1.0,0.5714,android|cyber-security|ios|linux|python,linux|python,Puppet
23234047.pdf,0.5,1.0,0.6667,java|qa,java,LabVIEW|MATLAB|VHDL
23438227.pdf,0.0,0.0,0.0,r,,
23497307.pdf,1.0,1.0,1.0,backend,backend,Jira|Oracle
24322804.pdf,0.0,0.0,0.0,,cpp,
